date,symbol,side,shares,price,value,cost
2014-08-04,601618.SH,sell,21927.337038582744,1.90231,41712.59252186634,8.342518504373269
2014-08-04,600663.SH,sell,462.60570219771466,87.96234999999999,40691.88468871114,8.13837693774223
2014-08-04,600115.SH,sell,12295.077382895952,3.3232000000000004,40859.001158839834,8.171800231767968
2014-08-04,601390.SH,sell,13756.845599220029,3.07008,42234.61653725342,8.446923307450685
2014-08-04,601139.SH,buy,3759.3742590427228,11.1708,41995.21797291445,8.39904359458289
2014-08-04,600642.SH,buy,46.50602180076119,33.4194,1554.2033449683586,0.31084066899367174
2014-08-04,601158.SH,buy,6962.810704868297,6.031359999999999,41995.21797291445,8.39904359458289
2014-08-04,601398.SH,buy,8278.72066838853,5.07267,41995.21797291444,8.399043594582889
2014-08-04,000157.SZ,buy,152.8970851690577,274.6633,41995.21797291445,8.39904359458289
2014-08-04,000725.SZ,buy,3958.0864405884317,10.60998,41995.21797291445,8.39904359458289
2014-08-04,600009.SH,buy,1098.1094148218365,38.243199999999995,41995.21797291445,8.39904359458289
2014-08-04,000729.SZ,buy,797.0425967741617,52.6888,41995.21797291445,8.39904359458289
2014-08-04,601333.SH,buy,12838.76586239386,3.27097,41995.21797291445,8.39904359458289
2014-08-04,600664.SH,buy,1073.7581460966862,39.1105,41995.21797291445,8.39904359458289
2014-08-04,600170.SH,buy,1326.3795119540755,31.661540000000002,41995.21797291444,8.399043594582889
2014-08-04,601018.SH,buy,15835.12176442742,2.65203,41995.21797291445,8.39904359458289
2014-08-04,601857.SH,buy,149.82462246244077,9.704,1453.8981363755254,0.2907796272751051
2014-08-04,600875.SH,buy,1140.0127037099273,36.8375,41995.21797291445,8.39904359458289
2014-08-04,600008.SH,buy,1900.8347412992714,22.09304,41995.217972914455,8.399043594582892
2014-08-04,600018.SH,buy,7486.68608189842,5.60932,41995.21797291445,8.39904359458289
2014-08-04,600583.SH,buy,310.5525341895486,135.22742,41995.21797291445,8.39904359458289
2014-08-04,601939.SH,buy,123.71062982507014,5.8448,723.06388920157,0.144612777840314
2014-08-04,601988.SH,buy,10781.716740499312,3.8950400000000003,41995.21797291445,8.39904359458289
2014-09-02,600642.SH,sell,1256.8539882774685,33.80265,42484.99546684737,8.496999093369475
2014-09-02,000157.SZ,sell,152.8970851690577,280.41360000000003,42874.42208176208,8.574884416352416
2014-09-02,000725.SZ,sell,3958.0864405884317,10.65672,42180.21893314755,8.436043786629511
2014-09-02,600009.SH,sell,1098.1094148218365,39.68994,43583.8967877138,8.71677935754276
2014-09-02,000729.SZ,sell,797.0425967741617,51.5092,41055.02652575965,8.21100530515193
2014-09-02,601333.SH,sell,12838.76586239386,3.3796,43389.89310854629,8.677978621709258
2014-09-02,600664.SH,sell,1073.7581460966862,43.0464,46221.42266013639,9.24428453202728
