date,self_built,rqalpha_align,rqalpha_full
2017-12-08,1953852.9557656634,1862920.0173,1785476.3404
2017-12-11,1956041.2455085814,1864856.0173,1787311.3404
2017-12-12,1942261.9703973415,1852403.5173,1775381.0904
2017-12-13,1946801.4760222607,1856484.7173,1779291.7904
2017-12-14,1947191.921685221,1856843.6173,1779642.9404
2017-12-15,1940712.9512228458,1850942.2173,1773990.5404
2017-12-18,1936035.2542648432,1846729.2173,1769956.5404
2017-12-19,1941051.7787292176,1851272.1173,1774318.6904
2017-12-20,1930265.1238430042,1841509.2173,1764997.5404
2017-12-21,1928687.4458556846,1840059.9173,1763621.9904
2017-12-22,1924179.8225225082,1835991.2173,1759725.5404
2017-12-25,1916068.2535174855,1828674.2173,1752715.5404
2017-12-26,1925977.112895453,1837628.8173,1761295.1404
2017-12-27,1921590.8094601755,1833631.8173,1757460.1404
2017-12-28,1918789.9628098635,1831109.7173,1755047.2904
2017-12-29,1924323.2443179127,1836138.6173,1759872.4404
2018-01-02,1943755.25070098,1853706.0173,1776701.8404
2018-01-03,1955823.51687762,1864622.9959,1786074.1005
2018-01-04,1955460.6152412454,1864295.7959,1785754.4005
2018-01-05,1964008.9987917354,1872057.0959,1793198.9505
2018-01-08,1972279.2904855327,1879543.5959,1800379.2005
2018-01-09,1968973.168864943,1876575.5959,1797524.2005
2018-01-10,1966937.7959634073,1874710.4959,1795724.3505
2018-01-11,1969647.146789772,1877149.6959,1798076.0505
2018-01-12,1967674.3817043793,1875386.3959,1796400.0005
2018-01-15,1953576.5554226176,1862569.6959,1784171.0505
2018-01-16,1974358.7729102045,1881373.7959,1802201.4005
2018-01-17,1983279.9931270676,1889467.2959,1809946.6505
2018-01-18,1993526.2712312734,1898735.1959,1818829.8005
2018-01-19,2000329.958428698,1904881.4959,1824703.8505
2018-01-22,2012364.4100831852,1915830.1959,1835174.3005
2018-01-23,2033087.4202656096,1934605.9959,1853138.6005
2018-01-24,2038706.6307372958,1939674.8959,1858002.7505
2018-01-25,2035853.6193836809,1937112.3959,1855532.0005
2018-01-26,2047100.9343042949,1947288.7959,1865299.4005
2018-01-29,2029332.3102718256,1931177.8959,1849909.7505
2018-01-30,2014939.7716997075,1918164.0959,1837428.4505
2018-01-31,2005073.7980515675,1909215.0959,1828875.9505
2018-02-01,1993924.3705282288,1899181.0959,1819291.4505
2018-02-02,1989066.8835431242,1894474.4568,1813103.6245
2018-02-05,1974687.400768683,1882170.4568,1804490.6245
2018-02-06,1945224.70299141,1856913.4568,1784315.6245
2018-02-07,1935744.269045253,1848791.4568,1780105.6245
2018-02-08,1928409.3222952825,1842444.4568,1770498.6245
2018-02-09,1882718.2918237424,1803226.4568,1736701.6245
2018-02-12,1884395.7489440234,1804640.4568,1741911.6245
2018-02-13,1886749.841475316,1806582.4568,1747478.6245
2018-02-14,1888381.8079614523,1807933.4568,1752118.6245
2018-02-22,1904151.0067995095,1821402.4568,1762449.6245
2018-02-23,1910019.5099299185,1826462.4568,1766083.6245
2018-02-26,1939329.833994116,1851476.4568,1789410.6245
2018-02-27,1934985.1522711935,1847774.4568,1786655.6245
