date,strategy,benchmark
2022-06-14,84840.9456,140245.67289973205
2022-06-15,85341.6656,142102.6251575408
2022-06-16,84865.7156,141167.39966364802
2022-06-17,84191.9156,143126.54235611853
2022-06-20,84906.7456,143836.96616575238
2022-06-21,85096.4856,143675.30359520626
2022-06-22,84111.1856,141850.35103341038
2022-06-23,84858.3156,144283.5568994057
2022-06-24,85353.2556,145974.02703519285
2022-06-27,85290.6256,147617.90928056312
2022-06-28,86073.9256,149154.2102352794
2022-06-29,84994.9256,146857.04791810014
2022-06-30,85427.3156,148971.33300224267
2022-07-01,84624.6856,148363.72739793136
2022-07-04,84526.9156,149337.34986980926
2022-07-05,83690.8956,149121.71563012124
2022-07-06,83133.9956,146943.83306003743
2022-07-07,83658.0756,147591.65916663437
2022-07-08,84261.0856,147103.6388909042
2022-07-11,83747.0556,144640.24356704493
2022-07-12,82940.0556,143278.469499115
2022-07-13,83658.3456,143538.98768028338
2022-07-14,83298.6356,143559.3320998473
2022-07-15,81740.5656,141116.44395090846
2022-07-18,83611.0156,142579.86372128656
2022-07-19,84992.0056,141807.74898845912
2022-07-20,85336.4256,142288.1297270469
2022-07-21,85214.4356,140702.2647839661
2022-07-22,84609.3256,140774.5514130223
2022-07-25,83658.7856,139924.56986748686
2022-07-26,84796.6456,141031.6949116965
2022-07-27,84413.5556,140336.16155641447
2022-07-28,84658.6056,140357.33968198826
2022-07-29,84601.8456,138511.51457610424
2022-08-01,84721.1356,139128.54006186588
2022-08-02,81811.5956,136416.35822865865
2022-08-03,81253.9656,135086.12880605087
2022-08-04,82342.5256,136234.0954801312
2022-08-05,83566.7756,138073.37715637588
2022-08-08,83913.3256,137779.869460904
2022-08-09,83441.2256,138052.77033531878
2022-08-10,82902.1356,136506.48151617334
2022-08-11,84347.0956,139290.11295088907
2022-08-12,84333.0056,139210.7016230631
2022-08-15,84001.3356,139028.92714060523
2022-08-16,84426.4156,138768.43885327785
2022-08-17,85130.0756,140067.87761966398
2022-08-18,84871.0556,138843.59196953138
2022-08-19,85070.0656,137879.4890252405
2022-08-22,85275.3856,138886.66899440068
2022-08-23,85371.8556,138211.92514475953
2022-08-24,83615.1656,135599.11043900927
2022-08-25,83676.7256,136722.45787426384
2022-08-26,83032.0956,136433.68004874449
2022-08-29,83321.3956,135834.9728444351
2022-08-30,83444.7556,135379.03198162714
2022-08-31,82463.1656,135480.2226333846
2022-09-01,82205.8856,134314.33958393647
2022-09-02,82767.9256,133645.83358244895
2022-09-05,82361.1256,133373.90924017323
2022-09-06,82849.7956,134598.02217033567
2022-09-07,82351.0456,134687.79669637213
2022-09-08,81841.7156,134113.2005355916
2022-09-09,82478.1856,135976.6995445776
2022-09-13,82451.4856,136552.2257359667
2022-09-14,81954.9056,135032.4394676295
2022-09-15,81333.8956,133762.27009311228
2022-09-16,79583.1556,130625.54257321428
2022-09-19,78608.2356,130470.01156160935
2022-09-20,79313.2256,130630.64113387233
2022-09-21,79887.9356,129664.03042847599
2022-09-22,79530.3056,128521.72697649464
2022-09-23,78816.5356,128079.20512675411
2022-09-26,76934.7056,127436.69015924007
2022-09-27,78191.7456,129284.0531371662
2022-09-28,76751.8456,127172.04662801482
2022-09-29,76276.8756,127120.0180585374
2022-09-30,76026.2156,126380.70683389172
2022-10-10,75169.5956,123592.3156353825
2022-10-11,75492.8056,123816.52608589733
2022-10-12,77104.6556,125697.17087346106
2022-10-13,77841.3556,124646.45218566517
2022-10-14,78552.2456,127629.09024140163
2022-10-17,79177.4056,127760.02858648392
2022-10-18,79032.9056,127489.48268243173
2022-10-19,79161.3656,125438.99105496584
2022-10-20,78886.1156,124721.31964966036
2022-10-21,79144.8156,124321.60578022018
2022-10-24,77926.1056,120683.87077144999
2022-10-25,77873.9756,120487.26562232224
2022-10-26,79045.2456,121465.40870726563
2022-10-27,79252.0456,120609.8502996162
2022-10-28,77926.7956,117626.60108090832
2022-10-31,79139.0656,116542.91280803629
2022-11-01,80211.3056,120710.43975301596
2022-11-02,80235.8556,122159.68984276392
2022-11-03,80022.8456,121166.26768353577
2022-11-04,80960.7456,125128.13164556715
2022-11-07,81443.1456,125397.92356051877
2022-11-08,81622.4456,124535.25374025118
2022-11-09,81343.6656,123370.89859823152
2022-11-10,82433.8256,122421.53996062539
2022-11-11,82314.0056,125834.42678360628
2022-11-14,82861.6456,126019.71545314968
2022-11-15,83528.3556,128409.74464813908
2022-11-16,83028.8356,127360.7133015903
2022-11-17,83635.4356,126838.37157486357
2022-11-18,83128.6156,126270.5413867609
2022-11-21,82585.2456,125192.9780297543
2022-11-22,81974.3856,125207.78544565894
2022-11-23,81498.8956,125339.18548450765
2022-11-24,81139.1856,124783.80774194704
2022-11-25,81301.8656,125413.84369161593
2022-11-28,81006.2556,124001.06076634016
2022-11-29,82752.9696,127826.8081057219
2022-11-30,82485.5896,127980.06718541143
2022-12-01,82587.1396,129366.21801990134
2022-12-02,82967.2596,128574.99780114219
2022-12-05,83873.7396,131096.97841026974
2022-12-06,83503.7296,131805.196718746
2022-12-07,83346.1996,131481.11426701528
2022-12-08,83192.1196,131505.6571104696
2022-12-09,82788.8596,132803.1959571838
2022-12-12,82160.3896,131315.1170895253
2022-12-13,82595.3396,131057.29931865988
2022-12-14,83114.8496,131363.0269520216
2022-12-15,82689.2696,131266.7953563309
2022-12-16,81903.9696,131341.14798195346
2022-12-19,80510.3996,129314.80061339536
2022-12-20,79819.7396,127182.26035702045
2022-12-21,79805.9996,127232.78426983459
2022-12-22,79294.1496,127415.12341373344
2022-12-23,79446.7396,127155.73787698489
2022-12-26,79992.6796,127662.93339094237
2022-12-27,80110.9096,129136.54363956081
2022-12-28,79480.4396,128585.51379009557
2022-12-29,79761.8296,128101.774976703
2022-12-30,80554.9196,128597.7835510538
2023-01-03,81693.5696,129138.04497468617
2023-01-04,82195.2696,129305.73281496114
2023-01-05,81974.7096,131817.82852733403
2023-01-06,81603.9796,132226.7297705724
2023-01-09,83171.0096,133297.28800417323
2023-01-10,83852.7757,133441.911085354
2023-01-11,83591.9357,133194.695663427
2023-01-12,84189.0557,133455.04776770098
2023-01-13,85005.9757,135331.98239744382
2023-01-16,85332.8157,137444.05201581505
2023-01-17,84251.9957,137420.0671907259
2023-01-18,83833.3157,137189.95436738417
2023-01-19,83275.8957,138043.37038309584
2023-01-20,84845.5557,138890.99363673088
2023-01-30,86153.1457,139549.2659799855
2023-01-31,86807.384,138071.6067766816
2023-02-01,87578.414,139369.5109925635
2023-02-02,87472.284,138878.4581527416
2023-02-03,87525.104,137565.87273939484
2023-02-06,87028.724,135747.1978842072
2023-02-07,88438.584,135991.51692509584
2023-02-08,87424.634,135390.57100424997
2023-02-09,88192.164,137207.9637458128
2023-02-10,88284.154,136392.63248352477
