date,strategy_nav,benchmark_nav
2013-03-22,875564.782809623,871556.9975497416
2013-03-25,875951.1529723553,869822.410360522
2013-03-26,870028.5762603289,857157.6936481355
2013-03-27,870200.8282564486,859980.4338831354
2013-03-28,853946.1968199845,831943.4333508757
2013-03-29,855929.3918861882,830539.0535099012
2013-04-01,856566.2076548636,829907.931400755
2013-04-02,859306.343049344,827645.7447690264
2013-04-03,858636.5662168851,826699.061605307
2013-04-08,853572.3638088059,822954.9363502036
2013-04-09,856117.4206553603,828657.3376433381
2013-04-10,860985.0935936825,827285.5790928153
2013-04-11,854976.9627834745,824811.3540731511
2013-04-12,853099.2052336022,819563.9864947858
2013-04-15,840265.828952263,811144.3648551533
2013-04-16,842587.4699449143,818725.1533117434
2013-04-17,840007.9151065084,818352.6714340353
2013-04-18,839344.6861922491,820475.7182758783
2013-04-19,850792.9216592183,843435.7808288671
2013-04-22,852906.3822442027,842384.909257889
2013-04-23,835939.723920974,815356.172896834
2013-04-24,844742.0443503746,830704.1571840238
2013-04-25,841403.264617618,821482.3180955292
2013-04-26,837897.3187767776,814635.5086741011
2013-05-02,828288.2236539015,815412.0951090368
2013-05-03,831568.1344777625,829816.3920653037
2013-05-06,835945.6514110804,840824.7461114924
2013-05-07,836460.4819577592,842141.248190434
2013-05-08,840603.4868491924,846421.9603864359
2013-05-09,835680.4803171676,841427.5742442263
2013-05-10,839010.011520535,845768.8688367814
2013-05-13,837825.1504843081,842417.5305483406
2013-05-14,831921.4340221124,829958.1948176754
2013-05-15,834008.8590053178,834480.903729579
2013-05-16,839661.8243235499,849721.0380360918
2013-05-17,849281.0366707116,862815.8231899427
2013-05-20,852670.4895571765,868660.6929760703
2013-05-21,853085.6433074691,870406.9306261658
2013-05-22,852272.4918694424,871465.7910846014
2013-05-23,843735.6228275427,859753.7492015274
2013-05-24,844759.1147257695,864540.0913995301
2013-05-27,843387.2344299075,865325.3324625447
2013-05-28,852903.0658159541,880228.6020145977
2013-05-29,852936.2490831809,879630.1011959033
2013-05-30,848258.9827487413,876887.9155761003
2013-05-31,846913.4967869223,867601.8325176347
2013-06-03,848195.6582370484,866335.9267259242
2013-06-04,839251.8696246089,854034.0386522348
2013-06-05,838960.3381664925,852327.4125691165
2013-06-06,831253.9123681729,841444.5506300736
2013-06-07,824356.3357814628,826903.1111057852
2013-06-13,804341.4887916123,798867.7749250792
2013-06-14,805355.8953641902,804471.3137359268
2013-06-17,800166.9313641253,800166.634877552
2013-06-18,798096.8055376296,805128.39972931
2013-06-19,793526.057808036,799143.3915423646
2013-06-20,771642.3328782172,772747.1087716987
2013-06-21,765181.2418795152,771391.6608664015
2013-06-24,732083.9274792243,722731.3473624856
2013-06-25,724407.0608337842,720804.3611336631
2013-06-26,718874.2976458959,721761.6961473258
2013-06-27,722311.0450578339,719244.5308575772
2013-06-28,729834.3397209309,732527.3877369912
2013-07-01,729263.729258739,736747.5175364402
2013-07-02,729830.4445130967,739632.5045195466
2013-07-03,731757.0578162249,733588.9111579127
2013-07-04,736623.8637339708,739630.840167993
