date,symbol,side,shares,price,value,cost
2019-06-04,601898.SH,buy,15238.7364192047,5.41496613,82517.24157399093,16.503448314798188
2019-06-04,600900.SH,sell,81.24888622343194,52.4011863,4257.53802366156,0.851507604732312
2019-06-04,601088.SH,buy,69.79312292910762,29.835810449999997,2082.334386426404,0.4164668772852808
2019-06-04,600795.SH,buy,128.7022269657102,641.1485140499999,82517.24157399092,16.503448314798185
2019-06-04,600926.SH,buy,4931.601423357649,16.732341989999995,82517.24157399093,16.503448314798188
2019-06-04,000898.SZ,buy,7378.502806246666,11.10446946,81934.3590724904,16.386871814498083
2019-07-02,600900.SH,sell,1574.2076698134358,52.72684339,83003.00126958986,16.600600253917975
2019-07-02,601006.SH,sell,5837.981507846835,14.5723102,85072.87747420781,17.014575494841562
2019-07-02,601991.SH,sell,10379.183691031263,7.768034040000001,80625.85221934371,16.125170443868743
2019-07-02,601390.SH,sell,11261.413667032804,7.490872690000001,84357.8160891688,16.87156321783376
2019-07-02,601898.SH,sell,15238.7364192047,5.628704239999999,85774.34029501991,17.15486805900398
2019-07-02,000898.SZ,sell,7378.502806246666,11.310821760000001,83456.93009711587,16.691386019423174
2019-07-02,600016.SH,sell,6.04649819731019,156.62742711,947.0474556699482,0.18940949113398967
2019-07-02,601988.SH,buy,12552.23083010016,6.775886249999999,85052.48828850174,17.01049765770035
2019-07-02,601857.SH,buy,441.62886506797275,9.153414419999999,4042.4120218014154,0.8084824043602832
2019-07-02,601818.SH,buy,8.698573295962678,5.500548899999999,47.84692777467688,0.009569385554935377
2019-07-02,601288.SH,buy,215.19392527346625,5.6681326499999996,1219.7477139241942,0.24394954278483885
2019-07-02,601398.SH,sell,50.24853966205492,10.047883545000001,504.8914748306415,0.10097829496612831
2019-07-02,600015.SH,sell,11.183580113937719,33.23509414,371.68733790895203,0.07433746758179041
2019-07-02,600028.SH,sell,130.11833308128902,16.57674748,2156.938750007059,0.4313877500014118
2019-07-02,601169.SH,buy,20.93402743466968,19.359074699999997,405.26340087961967,0.08105268017592394
2019-07-02,600919.SH,buy,11055.80749246711,7.693014584999999,85052.48828850174,17.01049765770035
2019-07-02,601088.SH,sell,177.1300631570561,32.82188085000001,5813.741827893871,1.1627483655787743
2019-07-02,600795.SH,sell,0.5793800229708388,663.6347366400001,384.4967089587298,0.07689934179174597
2019-07-02,601229.SH,buy,3656.642189979109,23.25972405,85052.48828850174,17.01049765770035
2019-07-02,600926.SH,sell,13.084746362393377,17.287092129999998,226.19721586437663,0.04523944317287533
2019-07-02,600674.SH,buy,507.9407101853416,167.44570100999996,85052.48828850174,17.01049765770035
2019-07-02,601838.SH,buy,9278.35769400441,9.16676109,85052.48828850174,17.01049765770035
2019-07-02,601998.SH,sell,93.5237081034053,8.572621545,801.7433550555434,0.16034867101110867
2019-07-02,601328.SH,buy,18.330578453051327,10.83993726,198.70232037058423,0.03974046407411685
2019-07-02,601985.SH,buy,13923.695106908046,5.8975573049999985,82115.78979033828,16.42315795806766
2019-07-02,601939.SH,sell,204.91860167191308,12.606543575,2583.31528130504,0.5166630562610081
2019-08-02,601088.SH,sell,2590.4687654684603,31.679452350000002,82064.63181982141,16.412926363964285
2019-08-02,601939.SH,sell,6744.566571581117,12.804344624999999,86359.75472877936,17.271950945755872
2019-08-02,601998.SH,sell,9918.385259253719,8.59520025,85250.50745993387,17.050101491986776
2019-08-02,600926.SH,sell,4918.516676995256,17.559615800000003,86367.26315392941,17.273452630785883
2019-08-02,601229.SH,sell,3656.642189979109,23.57252784,86196.29982420111,17.239259964840222
2019-08-02,600674.SH,sell,507.9407101853416,179.869370325,91362.9757034707,18.27259514069414
2019-08-02,601838.SH,sell,9278.35769400441,8.82794382,81908.82046453567,16.381764092907137
2019-08-02,601985.SH,sell,13923.695106908046,5.935530750000001,82644.52046067726,16.528904092135452
2019-08-02,601288.SH,buy,108.05500327754775,5.558527874999999,600.6267477514655,0.1201253495502931
2019-08-02,601988.SH,buy,194.2492255822651,6.59519595,1281.1117058507912,0.25622234117015824
2019-08-02,601328.SH,buy,105.75066642456987,10.56439956,1117.1922938454327,0.22343845876908655
2019-08-02,600016.SH,buy,4.211244287904576,153.6659946,647.1250420044255,0.1294250084008851
2019-08-02,600015.SH,buy,8.160638704621988,32.755159395,267.30302153489953,0.05346060430697991
2019-08-02,601169.SH,buy,38.25014676629017,18.956273399999997,725.0802396919223,0.14501604793838446
2019-08-02,601398.SH,buy,46.99671930586632,9.879497279999999,464.30396055122975,0.09286079211024595
2019-08-02,601006.SH,buy,6015.8937614558745,13.964278649999999,84007.61681376645,16.80152336275329
2019-08-02,000898.SZ,buy,8306.676849488491,10.113264105,84007.61681376645,16.80152336275329
2019-08-02,601857.SH,buy,648.5717281670994,8.45134356,5481.302498043086,1.0962604996086174
2019-08-02,600023.SH,buy,12089.196329249842,6.948982754999999,84007.61681376645,16.80152336275329
2019-08-02,601898.SH,buy,15561.294710101947,5.398497899999999,84007.61681376645,16.80152336275329
2019-08-02,600221.SH,buy,13695.035800552605,6.13416555,84007.61681376645,16.80152336275329
2019-08-02,601228.SH,buy,20609.311857356624,4.07619708,84007.61681376645,16.80152336275329
2019-08-02,600028.SH,buy,220.53053180332253,15.71361288,3465.3314049779383,0.6930662809955876
